internal_accession,external_accession,is_brainarray
clariomdhuman,GPL23126,y
clariomdhuman,GPL24539,y
clariomdhuman,A-GEOD-22844,y
clariomshumanht,GPL24324,y
clariomshuman,GPL23159,y
hgu133a2,GPL571,y
hgu133a2,GPL14604,y
hgu133a2,GPL9188,y
hgu133a2,GPL22932,y
hgu133a2,GPL8414,y
hgu133a2,GPL5356,y
hgu133a2,GPL17486,y
hgu133a2,GPL23080,y
hgu133a2,GPL18991,y
hgu133a2,GPL18034,y
hgu133a2,GPL18880,y
hgu133a2,GPL13447,y
hgu133a2,GPL7763,y
hgu133a2,GPL5705,y
hgu133a2,GPL18478,y
hgu133a2,GPL18033,y
hgu133a,GPL96,y
hgu133a,GPL4557,y
hgu133a,GPL17027,y
hgu133a,GPL19184,y
hgu133a,GPL14663,y
hgu133a,GPL24120,y
hgu133a,GPL9741,y
hgu133a,GPL17180,y
hgu133a,GPL8289,y
hgu133a,GPL10553,y
hgu133a,GPL9021,y
hgu133a,GPL17662,y
hgu133a,GPL16212,y
hgu133a,A-AFFY-33,y
hgu133a,A-MEXP-2334,y
hgu133b,GPL97,y
hgu133b,GPL9742,y
hgu133b,GPL19180,y
hgu133b,GPL15396,y
hgu133b,GPL9197,y
hgu133b,A-AFFY-34,y
hgu133plus2,GPL570,y
hgu133plus2,GPL15308,y
hgu133plus2,GPL16311,y
hgu133plus2,GPL13916,y
hgu133plus2,GPL9101,y
hgu133plus2,GPL17810,y
hgu133plus2,GPL14877,y
hgu133plus2,GPL8542,y
hgu133plus2,GPL19109,y
hgu133plus2,GPL11670,y
hgu133plus2,GPL16356,y
hgu133plus2,GPL10371,y
hgu133plus2,GPL22945,y
hgu133plus2,GPL10175,y
hgu133plus2,GPL9486,y
hgu133plus2,GPL23432,y
hgu133plus2,GPL16268,y
hgu133plus2,GPL6879,y
hgu133plus2,GPL5760,y
hgu133plus2,GPL20182,y
hgu133plus2,GPL14837,y
hgu133plus2,GPL15445,y
hgu133plus2,GPL7869,y
hgu133plus2,GPL9324,y
hgu133plus2,GPL8019,y
hgu133plus2,GPL4866,y
hgu133plus2,GPL7567,y
hgu133plus2,GPL6671,y
hgu133plus2,GPL6791,y
hgu133plus2,GPL22321,y
hgu133plus2,GPL17996,y
hgu133plus2,GPL11433,y
hgu133plus2,GPL11084,y
hgu133plus2,GPL16100,y
hgu133plus2,GPL17811,y
hgu133plus2,GPL13695,y
hgu133plus2,GPL9102,y
hgu133plus2,GPL10881,y
hgu133plus2,GPL17929,y
hgu133plus2,GPL6732,y
hgu133plus2,GPL15676,y
hgu133plus2,GPL15394,y
hgu133plus2,GPL9454,y
hgu133plus2,GPL9828,y
hgu133plus2,GPL13232,y
hgu133plus2,GPL9419,y
hgu133plus2,GPL10335,y
hgu133plus2,GPL6823,y
hgu133plus2,GPL16006,y
hgu133plus2,GPL13668,y
hgu133plus2,GPL10274,y
hgu133plus2,GPL18121,y
hgu133plus2,GPL19883,y
hgu133plus2,GPL23270,y
hgu133plus2,GPL9987,y
hgu133plus2,GPL18850,y
hgu133plus2,GPL16372,y
hgu133plus2,GPL11364,y
hgu133plus2,GPL9099,y
hgu133plus2,GPL16066,y
hgu133plus2,GPL8715,y
hgu133plus2,GPL19633,y
hgu133plus2,GPL4454,y
hgu133plus2,GPL17394,y
hgu133plus2,GPL16273,y
hgu133plus2,GPL19918,y
hgu133plus2,GPL19171,y
hgu133plus2,GPL10184,y
hgu133plus2,GPL10925,y
hgu133plus2,GPL24355,y
hgu133plus2,GPL20635,y
hgu133plus2,GPL17392,y
hgu133plus2,A-AFFY-44,y
hgu219,GPL13667,y
hgu219,GPL18189,y
hgu219,GPL15803,y
hgu219,GPL20650,y
hgu219,GPL19100,y
hgu219,GPL21464,y
hgu219,GPL19099,y
hgu219,GPL19211,y
hgu219,GPL24030,y
hgu219,GPL19833,y
hgu95a,GPL91,y
hgu95a,A-AFFY-9,y
hgu95av2,GPL8300,y
hgu95av2,A-AFFY-1,y
hgu95b,GPL92,y
hgu95b,A-AFFY-10,y
hgu95c,GPL93,y
hgu95c,A-AFFY-11,y
hgu95d,GPL94,y
hgu95d,A-AFFY-12,y
hgu95e,GPL95,y
hgu95e,A-AFFY-13,y
hta20,GPL17586,y
hta20,GPL17585,y
hta20,GPL18588,y
hta20,GPL20265,y
hta20,GPL20932,y
hta20,GPL21339,y
hta20,GPL19198,y
hta20,GPL22936,y
hta20,GPL24299,y
hta20,GPL24280,y
hthgu133a,GPL3921,y
hthgu133a,GPL15395,y
hthgu133a,GPL17897,y
hthgu133a,GPL16980,y
hthgu133a,GPL22931,y
hthgu133a,GPL18283,y
hthgu133a,A-AFFY-113,y
hthgu133b,GPL15396,y
hthgu133b,GPL9197,y
hthgu133pluspm,GPL13158,y
hthgu133pluspm,GPL15798,y
hthgu133pluspm,GPL20131,y
hthgu133pluspm,GPL17295,y
hthgu133pluspm,GPL19309,y
hthgu133pluspm,A-AFFY-188,y
htmg430a,GPL8759,y
htmg430b,GPL8760,y
htmg430pm,GPL11180,y
htmg430pm,GPL15125,y
htmg430pm,GPL14178,y
htmg430pm,GPL17226,y
htmg430pm,GPL21382,y
htmg430pm,GPL17198,y
htmg430pm,GPL17326,y
htmg430pm,GPL24664,y
htmg430pm,GPL22408,y
htmg430pm,GPL18098,y
htmg430pm,GPL21720,y
htmg430pm,GPL22412,y
htmg430pm,GPL21983,y
hugene10st,GPL6244,y
hugene10st,GPL10739,y
hugene10st,GPL15648,y
hugene10st,GPL13243,y
hugene10st,GPL16522,y
hugene10st,GPL20171,y
hugene10st,GPL19824,y
hugene10st,GPL17047,y
hugene10st,GPL15034,y
hugene10st,GPL17244,y
hugene10st,GPL16987,y
hugene10st,GPL17556,y
hugene10st,GPL15401,y
hugene10st,GPL19832,y
hugene10st,GPL19306,y
hugene10st,GPL18412,y
hugene10st,GPL17737,y
hugene10st,GPL16786,y
hugene10st,GPL10666,y
hugene10st,GPL19145,y
hugene10st,GPL14010,y
hugene10st,GPL11209,y
hugene10st,GPL21503,y
hugene10st,GPL23644,y
hugene10st,GPL23526,y
hugene10st,GPL19433,y
hugene10st,GPL18695,y
hugene10st,GPL16332,y
hugene10st,GPL16239,y
hugene10st,GPL18401,y
hugene10st,GPL19142,y
hugene10st,GPL15424,y
hugene10st,GPL19302,y
hugene10st,GPL10063,y
hugene10st,GPL24532,y
hugene10st,A-AFFY-141,y
hugene10st,A-AFFY-183,y
hugene10st,A-AFFY-187,y
hugene10st,A-MTAB-621,y
hugene11st,GPL11532,y
hugene11st,GPL16977,y
hugene11st,GPL22286,y
hugene11st,GPL18190,y
hugene11st,GPL15640,y
hugene11st,GPL17555,y
hugene11st,GPL20234,y
hugene11st,GPL11536,y
hugene11st,GPL24789,y
hugene11st,GPL20880,y
hugene11st,A-MEXP-2212,y
hugene11st,A-AFFY-168,y
hugene20st,GPL16686,y
hugene20st,GPL17930,y
hugene20st,GPL21970,y
hugene20st,GPL20103,y
hugene20st,GPL19251,y
hugene20st,GPL17889,y
hugene20st,GPL19803,y
hugene20st,GPL23643,y
hugene20st,GPL21563,y
hugene20st,GPL18476,y
hugene21st,GPL17692,y
hugene21st,GPL18964,y
hugene21st,GPL19983,y
hugene21st,GPL22299,y
hugene21st,GPL22067,y
hugene21st,GPL19389,y
hugene21st,GPL19264,y
hugene21st,GPL23961,y
Illumina_Human-6_v1.0,GPL2507,n
Illumina_Human-6_v1.0,GPL6097,n
Illumina_Human-6_v1.0,A-MEXP-691,n
Illumina_Human-6_V2.0,GPL6102,n
Illumina_Human-6_V2.0,GPL6106,n
Illumina_Human-6_V2.0,GPL10295,n
Illumina_Human-6_V2.0,GPL6790,n
Illumina_Human-6_V2.0,GPL6370,n
Illumina_Human-6_V2.0,GPL7363,n
Illumina_Human-6_V2.0,GPL7350,n
Illumina_Human-6_V2.0,GPL7180,n
Illumina_Human-6_V2.0,GPL5799,n
Illumina_Human-6_V2.0,A-MEXP-930,n
Illumina_HumanHT-12_V3.0,GPL6947,n
Illumina_HumanHT-12_V3.0,GPL15389,n
Illumina_HumanHT-12_V3.0,GPL18461,n
Illumina_HumanHT-12_V3.0,GPL16700,n
Illumina_HumanHT-12_V3.0,GPL19915,n
Illumina_HumanHT-12_V3.0,A-MEXP-1171,n
Illumina_HumanHT-12_V4.0,GPL10558,n
Illumina_HumanHT-12_V4.0,GPL10904,n
Illumina_HumanHT-12_V4.0,GPL15988,n
Illumina_HumanHT-12_V4.0,GPL22366,n
Illumina_HumanHT-12_V4.0,GPL23026,n
Illumina_HumanHT-12_V4.0,A-MEXP-2072,n
Illumina_HumanHT-12_V4.0,A-MEXP-2210,n
Illumina_HumanRef-8_v1.0,GPL6098,n
Illumina_HumanRef-8_v1.0,A-MEXP-525,n
Illumina_HumanRef-8_v2.0,GPL6104,n
Illumina_HumanRef-8_v2.0,GPL6255,n
Illumina_HumanRef-8_v2.0,GPL5104,n
Illumina_HumanRef-8_v2.0,GPL14186,n
Illumina_HumanRef-8_v2.0,GPL5060,n
Illumina_HumanRef-8_v2.0,GPL6014,n
Illumina_HumanRef-8_v2.0,GPL11123,n
Illumina_HumanRef-8_v2.0,A-MEXP-931,n
Illumina_HumanRef-8_v3.0,GPL6883,n
Illumina_HumanRef-8_v3.0,GPL18405,n
Illumina_HumanRef-8_v3.0,GPL16221,n
Illumina_HumanRef-8_v3.0,A-MEXP-1172,n
Illumina_HumanWG-6_V3.0,GPL6884,n
Illumina_HumanWG-6_V3.0,GPL11009,n
Illumina_HumanWG-6_V3.0,GPL18387,n
Illumina_HumanWG-6_V3.0,A-MEXP-1173,n
Illumina_HumanWG-6_V3.0,A-MEXP-1844,n
Illumina_HumanWG-6_V3.0,A-MEXP-2271,n
